ID,name,type,duration,participants
MATH 152,Calculus With Analysis,LECTURE,2,LEC248 ED1-BME ED1-AUTO
MATH 152,Calculus With Analysis,LECTURE,2,LEC248 ED1-BME ED1-AUTO
MATH 152,Calculus with Analysis,LECTURE,2,LEC249 ED1-AE
MATH 152,Calculus with Analysis,LECTURE,2,LEC249 ED1-AE
MATH 152,Calculus with Analysis,LECTURE,2,LEC252 ED1-CHE
MATH 152,Calculus with Analysis,LECTURE,2,LEC252 ED1-CHE
MATH 152,Calculus with Analysis,LECTURE,2,LEC040 ED1-COE
MATH 152,Calculus with Analysis,LECTURE,2,LEC040 ED1-COE
IE 366,Advanced Manufacturing Technology I,LECTURE,2,LEC035 ED3-IND
IE 356,Reliability Engineering,LECTURE,2,LEC035 ED3-IND
IE 174,First Year Design Project,LAB_SESSION,2,LEC005 ED1-IND
IE 174,First Year Design Project,LAB_SESSION,2,LEC005 ED1-IND
GE 286,Principles of Land Surveying,LECTURE,2,LEC130 ED2-AE
FC 182,French For Communication II,LECTURE,2,LEC240 ED3-CHE
FC 182,French For Communication,LECTURE,2,LEC212 ED2-COE
ENGL 264,Literature in English II,LECTURE,2,LEC122 ED2-COE
ENGL 158,Communication Skills II,LECTURE,2,LEC241 ED1-CHE
ENGL 158,Communication Skills II,LECTURE,2,LEC241 ED1-TEL
ENGL 158,Communication Skills II,LECTURE,2,LEC045 ED1-COE
ENGL 152,Communication Skills II,LECTURE,2,LEC241 ED1-MSE
EE 498,Project II,LAB_SESSION,2,LEC07 ED4-EE
EE 498,Project II,LAB_SESSION,2,LEC07 ED4-EE
EE 472,Digital Signal Processing,LECTURE,2,LEC121 ED4-EE
EE 472,Digital Signal Processing,LECTURE,2,LEC192 ED4-TEL
EE 468,Power Systems Protection,LECTURE,2,LEC052 ED4-EE
EE 466,Power Systems Planning And Optimization,LECTURE,2,LEC186 ED4-EE
EE 462,Electric Drives,LECTURE,2,LEC056 ED4-EE
EE 380,Digital Control Systems,LECTURE,2,LEC181 ED3-EE
EE 368,Power Systems Analysis,LECTURE,2,LEC056 ED3-EE
EE 366,Power Electronics,LECTURE,2,LEC033 ED3-EE
EE 362,Substations And Transmission Line Design,LECTURE,2,LEC186 ED3-EE
EE 360,High Voltage Engineering,LECTURE,2,LEC052 ED3-EE
EE 288,Electrical Measurements And Instrumentation,LECTURE,2,LEC181 ED2-EE
EE 288,Electrical Measurement and Instrumentation,LECTURE,2,LEC195 ED2-TEL
EE 272,Digital Systems,LECTURE,2,LEC181 ED2-EE
EE 272,Digital Systems,LECTURE,2,LEC187 ED2-TEL
EE 262,Synchronous Machines,LECTURE,2,LEC033 ED2-EE
EE 252,Electrical Engineering Machines,LECTURE,2,LEC121 ED2-AE
EE 172,Electrical Machines,LECTURE,2,LEC121 ED1-TEL
EE 162,Electromechanical Energy Conversion And Transformers,LECTURE,2,LEC114 ED1-EE
EE 156,Electrical Eng. Drawing,LECTURE,2,LEC032 ED1-COE
EE 152,Basic Electronics,LECTURE,2,LEC083 ED1-CHE
EE 152,Basic Electronics,LECTURE,2,LEC246 ED1-MSE
ECON 262,Introuction To Economics II,LECTURE,2,LEC239 ED3-CHE
ECON 152,Introduction to Economics II,LECTURE,2,LEC211 ED2-COE
CSM 158,Accounting II,LECTURE,2,LEC210 ED2-COE
COE 498,Project II,LECTURE,2,LEC06 ED4-COE
COE 498,Project II,LECTURE,2,LEC06 ED4-COE
COE 486,Introduction To VLSI,LECTURE,2,LEC184 ED4-EE
COE 486,Introduction To VLSI,LECTURE,2,LEC184 ED4-BME
COE 484,Industrial Automatic Control,LECTURE,2,LEC032 ED4-EE
COE 472,Digital Signal Processing,LECTURE,2,LEC215 ED4-BME
COE 382,Digital Computer Design,LECTURE,2,LEC198 ED3-EE
COE 372,Digital Systems Design II,LECTURE,2,LEC198 ED3-COE
COE 368,Database and Information Retrieval,LECTURE,2,LEC206 ED3-COE
COE 358,Embedded Systems,LECTURE,2,LEC182 ED3-COE
COE 356,Introduction to Software Eng.,LECTURE,2,LEC038 ED3-COE
COE 354,Operating Systems,LECTURE,2,LEC182 ED3-COE
COE 288,Electrical Measurements And Instrumentation,LECTURE,2,LEC003 ED2-COE
COE 272,Digital Systems,LECTURE,2,LEC198 ED2-BME
